圖片檔名,卡牌名稱,正位牌義關鍵字,逆位牌義關鍵字
The_Fool_MeowsticTarot.png,愚者,開始 自由 無知無畏 隨遇而安 純真 冒險 新起點,躁動 盲目 缺乏計劃 輕率 愚昧 衝動 迷惘
The_Magician_MeowsticTarot.png,魔術師,創造力 專注 專長 溝通 意志力 資源豐富 主動性,欺騙 幻滅 缺乏動力 才能受阻 計劃不周 意志薄弱
The_High_Priestess_MeowsticTarot.png,女祭司,直覺 潛意識 神秘 智慧 靜止 內省 洞察力,表面化 焦慮 忽略直覺 理性過度 秘密曝光 情感壓抑
The_Empress_MeowsticTarot.png,皇后,豐收 孕育 自然 溫柔 創造力 美麗 物質享受 豐盛,缺乏安全感 創造力受阻 過度保護 浪費 情感勒索
The_Emperor_MeowsticTarot.png,皇帝,權力 控制 秩序 穩定 父親形象 紀律 領導力 理性,專制 暴政 軟弱 缺乏控制 混亂 傲慢 濫用權力
The_Hierophant_MeowsticTarot.png,教皇,傳統 信仰 導師 儀式 體制 精神指引 尋求認同,叛逆 突破傳統 質疑權威 新觀點 思想解放 迷信
The_Lovers_MeowsticTarot.png,戀人,愛情 選擇 和諧 伴侶 价值观 契合 吸引力,不和諧 錯誤抉擇 情感疏離 衝突 分道揚鑣 逃避承諾
The_Chariot_MeowsticTarot.png,戰車,意志力 勝利 克服困難 自控 決心 快速進展 衝刺,失去控制 失控 挫折 失去方向 魯莽 停滯不前
Strength_MeowsticTarot.png,力量,勇氣 耐心 溫柔掌控 內在力量 克服恐懼 自信 韌性,軟弱 焦躁 恐懼 自我懷疑 濫用暴力 情緒失控
The_Hermit_MeowsticTarot.png,隱士,孤獨 內省 尋求真理 導師 智慧 沉思 謹慎 獨處,孤立 寂寞 偏執 逃避現實 拒絕指引 思想封閉
Wheel_of_Fortune_MeowsticTarot.png,命運之輪,好運 命運 轉折點 機遇 順應變化 業力 因果輪迴,厄運 阻礙 逆境 拒絕變化 舊習難改 失去掌控
